1,Facultad de Ingenieria,Libertador General San Martin 1109 (O) ,Capital,SanJuan,0264-4222074 - 4222643
1,1,BioIngenieria,Bioingeniero,Once Semestres,Grado
1,2,Ingenieria Electronica,Ingeniero en Electronica, Once Semestres,Grado
1,3,Ingenieria Electrica,Ingeniero en Electrico,Diez Semestres,Grado
1,4,Ingenieria en Agrimensura,Ingeniero Agrimensor,Diez Semestres,Grado
1,5,Ingenieria Electromecanica,Ingeniero Electromecanico,Once Semestres,Grado
1,6,Ingenieria Industrial,Ingeniero Industrial,Diez Semestres,Grado
1,7,Ingenieria Mecanica,Ingeniero Mecanico,Once Semestres,Grado
1,8,Ingenieria Civil,Ingeniero Civil,Diez Semestres,Grado
1,9,Ingenieria en Minas,Ingeniero en Minas,Diez Semestres,Grado
1,10,Ingenieria en Metalurgica Extractiva,Ingeniero Metalurgista,Diez Semestres,Grado
1,11,Ingenieria en Alimentos,Ingeniero en Alimentos,Diez Semestres,Grado
1,12,Ingenieria en Agronomica,Ingeniero Agronomo,Diez Semestres,Grado
2,Facultad de Ciencias Exactas Fisicas y Naturales,Avenida Ignacio de la Roza 590 (Oeste),Rivadavia,San Juan,0264-4260353-4260355
2,1,Licenciatura en Sistemas de Informacion,Licenciado en Sistemas de Informacion,Diez Semestres,Grado
2,2,Licenciatura en Ciencias de la Computacion,Licenciado en Ciencias de la Computacion,Diez Semestres,Grado
2,3,Tecnicatura en Programacion Web,Tecnico en Programacion Web,Tres Semestres, Pre grado
