1;Fresa Delicia;Fresas frescas, crema de leche, azucar, extracto de vainilla
2;Chocolate Tentacion;Chocolate oscuro, crema de leche, azucar, cacao en polvo
3;Vainilla Clasica;Extracto de vainilla, crema de leche, azucar, yema de huevo.
4;Nuez Caramelizada;Nueces tostadas, caramelo, crema de leche, azucar
5;Mango Exotico;Mango fresco, crema de leche, azucar, jugo de limón.
6;Cookies and Cream;Galletas de chocolate trituradas, crema de leche, azucar, extracto de vainilla
7;Dulce de Leche Tentacion;Dulce de leche, crema de leche, azucar, nueces picadas
8;Menta Chip; Extracto de menta, trozos de chocolate, crema de leche, azucar
9;Avellana Cremosa; Avellanas tostadas, crema de leche, azucar, extracto de vainilla
10;Frutos del Bosque Salvaje; Mezcla de frutos del bosque (arandanos, frambuesas, moras), crema de leche, azucar
